name,domain,country
Huazhong University of Science & Technology / 华中科技大学,hust.edu.cn,cn
Louisiana State University,lsu.edu,us
Lomonosov Moscow State University / Московский государственный университет М В Ломоносова,msu.ru,ru
Hong Kong Polytechnic University,polyu.edu.hk,hk
Eindhoven University of Technology / Technische Universiteit Eindhoven,tue.nl,nl
University of Victoria British Columbia,uvic.ca,ca
(1) Universitat de València,uv.es,es
University of Central Florida,ucf.edu,us
Linköping University / Linköpings Universitet,liu.se,se
University of Liverpool,liverpool.ac.uk,uk
Curtin University of Technology,curtin.edu.au,au
Universität Tubingen,uni-tuebingen.de,de
York University,yorku.ca,ca
Cardiff University,cardiff.ac.uk,uk
Aalto University / Aalto-yliopisto,aalto.fi,fi
Shandong University / 山东大学,sdu.edu.cn,cn
Universidad de Granada,ugr.es,es
Humboldt Universität zu Berlin,hu-berlin.de,de
Universidade Estadual de Campinas UNICAMP,unicamp.br,br
University of Saint Andrews,st-andrews.ac.uk,uk
Trinity College Dublin,tcd.ie,ie
Drexel University,drexel.edu,us
Universidade Federal do Rio de Janeiro,ufrj.br,br
Macquarie University,mq.edu.au,au
Universität zu Köln,uni-koeln.de,de
National and Kapodistrian University of Athens,uoa.gr,gr
Tohoku University / 東北大学,tohoku.ac.jp,jp
University of California Davis,ucdavis.edu,us
Universität Münster,uni-muenster.de,de
Politecnico di Milano,polimi.it,it
University of Twente / Universiteit Twente,utwente.nl,nl
University of Technology Sydney,uts.edu.au,au
Dalhousie University,dal.ca,ca
Georgia State University,gsu.edu,us
Brigham Young University,byu.edu,us
University of Leicester,le.ac.uk,uk
Radboud University / Radboud Universiteit Nijmegen,ru.nl,nl
Sun Yat Sen University (Zhongshan University) / 中山大学,sysu.edu.cn,cn
Universidade de Lisboa,ulisboa.pt,pt
Tianjin University / 天津大学,tju.edu.cn,cn
Università degli Studi di Torino,unito.it,it
University College Dublin,ucd.ie,ie
Indiana University/Purdue University Indianapolis,iupui.edu,us
Deakin University,deakin.edu.au,au
Griffith University,griffith.edu.au,au
Université Laval,ulaval.ca,ca
(1) Korea Advanced Institute of Science & Technology KAIST,kaist.ac.kr,kr
Università degli Studi di Firenze,unifi.it,it
Florida International University,fiu.edu,us
University of Sussex,sussex.ac.uk,uk
Baylor College of Medicine,bcm.edu,us
RMIT University,rmit.edu.au,au
Chalmers University of Technology,chalmers.se,se
